devolucaoId,protocolo,mesRef,dataAbertura,dataFechamento,motivoId,unidadeId,canalEntrada,criticidade,slaDias,tempoCorrecaoDias,slaEstourado,status
1,DV-100001,2025-01,2025-01-11,2025-01-15,1,10,Portal SILIC,Alta,5,4,0,Concluído
2,DV-100002,2025-01,2025-01-19,2025-01-22,2,9,Portal SILIC,Alta,5,3,0,Concluído
3,DV-100003,2025-01,2025-01-21,2025-01-25,3,18,Portal SILIC,Alta,5,4,0,Concluído
4,DV-100004,2025-01,2025-01-08,2025-01-11,4,14,Esteira Interna,Alta,5,3,0,Concluído
5,DV-100005,2025-01,2025-01-19,2025-01-25,5,11,Portal SILIC,Alta,5,6,1,Concluído
6,DV-100006,2025-01,2025-01-02,2025-01-06,5,2,E-mail,Alta,5,4,0,Concluído
7,DV-100007,2025-01,2025-01-24,2025-01-31,6,16,Portal SILIC,Média,6,7,1,Concluído
8,DV-100008,2025-01,2025-01-18,2025-01-25,7,6,Portal SILIC,Alta,5,7,1,Concluído
9,DV-100009,2025-01,2025-01-06,2025-01-13,8,13,Portal SILIC,Alta,5,7,1,Concluído
10,DV-100010,2025-01,2025-01-14,2025-01-19,8,6,Portal SILIC,Alta,5,5,0,Concluído
11,DV-100011,2025-01,2025-01-26,2025-01-31,9,9,E-mail,Alta,5,5,0,Concluído
12,DV-100012,2025-01,2025-01-26,2025-02-03,9,13,Esteira Interna,Alta,5,8,1,Concluído
13,DV-100013,2025-01,2025-01-17,2025-01-22,10,5,E-mail,Média,6,5,0,Concluído
14,DV-100014,2025-01,2025-01-07,2025-01-12,11,10,E-mail,Média,6,5,0,Concluído
15,DV-100015,2025-01,2025-01-02,2025-01-08,11,2,E-mail,Média,6,6,0,Concluído
16,DV-100016,2025-01,2025-01-19,2025-01-23,12,9,Esteira Interna,Média,6,4,0,Concluído
17,DV-100017,2025-01,2025-01-01,2025-01-07,12,16,Portal SILIC,Média,6,6,0,Concluído
18,DV-100018,2025-01,2025-01-22,2025-01-27,13,5,Portal SILIC,Média,6,5,0,Concluído
19,DV-100019,2025-01,2025-01-18,2025-01-23,13,17,Portal SILIC,Média,6,5,0,Concluído
20,DV-100020,2025-01,2025-01-26,2025-01-31,14,14,E-mail,Média,6,5,0,Concluído
21,DV-100021,2025-01,2025-01-26,2025-01-30,14,8,E-mail,Média,6,4,0,Concluído
22,DV-100022,2025-01,2025-01-10,2025-01-15,15,13,E-mail,Média,6,5,0,Concluído
23,DV-100023,2025-01,2025-01-12,2025-01-19,15,15,Portal SILIC,Média,6,7,1,Concluído
24,DV-100024,2025-01,2025-01-18,2025-01-23,16,18,Portal SILIC,Média,6,5,0,Concluído
25,DV-100025,2025-01,2025-01-14,2025-01-20,16,3,Esteira Interna,Média,6,6,0,Concluído
26,DV-100026,2025-01,2025-01-13,2025-01-20,17,2,E-mail,Média,6,7,1,Concluído
27,DV-100027,2025-01,2025-01-26,2025-02-02,18,6,Portal SILIC,Média,6,7,1,Concluído
28,DV-100028,2025-01,2025-01-10,2025-01-15,19,3,Portal SILIC,Média,6,5,0,Concluído
29,DV-100029,2025-01,2025-01-16,2025-01-23,19,17,Portal SILIC,Média,6,7,1,Concluído
30,DV-100030,2025-01,2025-01-14,2025-01-19,20,1,Portal SILIC,Média,6,5,0,Concluído
31,DV-100031,2025-01,2025-01-17,2025-01-21,20,17,Esteira Interna,Média,6,4,0,Concluído
32,DV-100032,2025-01,2025-01-14,2025-01-21,21,15,Portal SILIC,Média,6,7,1,Concluído
33,DV-100033,2025-01,2025-01-04,2025-01-08,21,16,Portal SILIC,Média,6,4,0,Concluído
34,DV-100034,2025-01,2025-01-24,2025-01-28,22,11,Esteira Interna,Média,6,4,0,Concluído
35,DV-100035,2025-01,2025-01-05,2025-01-09,23,10,Portal SILIC,Média,6,4,0,Concluído
36,DV-100036,2025-01,2025-01-06,2025-01-10,24,16,E-mail,Média,6,4,0,Concluído
37,DV-100037,2025-01,2025-01-10,2025-01-17,25,5,Esteira Interna,Média,6,7,1,Concluído
38,DV-100038,2025-01,2025-01-11,2025-01-18,25,9,Esteira Interna,Média,6,7,1,Concluído
39,DV-100039,2025-01,2025-01-01,2025-01-07,26,2,E-mail,Média,6,6,0,Concluído
40,DV-100040,2025-01,2025-01-06,2025-01-11,26,16,Portal SILIC,Média,6,5,0,Concluído
41,DV-100041,2025-01,2025-01-03,2025-01-08,27,18,E-mail,Média,6,5,0,Concluído
42,DV-100042,2025-01,2025-01-05,2025-01-09,27,5,E-mail,Média,6,4,0,Concluído
43,DV-100043,2025-01,2025-01-18,2025-01-22,28,8,Portal SILIC,Média,6,4,0,Concluído
44,DV-100044,2025-01,2025-01-06,2025-01-10,29,12,Portal SILIC,Média,6,4,0,Concluído
45,DV-100045,2025-01,2025-01-06,2025-01-12,29,11,Portal SILIC,Média,6,6,0,Concluído
46,DV-100046,2025-01,2025-01-04,2025-01-11,30,13,Portal SILIC,Média,6,7,1,Concluído
47,DV-100047,2025-01,2025-01-07,2025-01-12,31,11,Portal SILIC,Média,6,5,0,Concluído
48,DV-100048,2025-01,2025-01-23,2025-01-27,31,3,Portal SILIC,Média,6,4,0,Concluído
49,DV-100049,2025-01,2025-01-09,2025-01-15,32,13,Portal SILIC,Média,6,6,0,Concluído
